Code_departement,annee,Drugs,Financial,Property,Violent,risk_score_raw,risk_score_norm,risk_level
01,2022,4.63138826943388,5.3374924957805066,19.68302772725309,6.019761980309524,9.772840013764565,8.3,Low
02,2022,7.9667705562468845,4.7454324736755975,21.81871458525986,8.547106123396466,12.032354183553482,15.9,Low
03,2022,7.295759078619124,5.667508178599705,18.44255560700895,6.489102669435192,10.154310383460556,9.6,Low
04,2022,8.75109912130112,7.028394714647174,23.764946554292106,7.889746917974147,12.738442029202233,18.3,Low
05,2022,9.23226776399839,5.420781072439422,21.55607473337239,7.912364039328896,12.020299695786896,15.9,Low
06,2022,9.39368138104163,6.318977838268978,33.25291432908748,9.032109881847765,16.099352311500574,29.6,Medium
07,2022,7.058209219485699,4.462396730176546,17.756557802592212,6.265961245869958,9.691233356040442,8.1,Low
08,2022,6.283588569033398,4.618194338408108,19.883684375982394,9.27381326626847,11.393167766949597,13.8,Low
09,2022,6.997598800043775,5.072776315027134,20.162354592214445,8.220730145037628,11.243795827190855,13.3,Low
10,2022,4.442644241278659,5.201301289716983,22.22929444894495,9.136031066363204,11.731859738456198,14.9,Low
11,2022,5.418597941091608,5.066534664997234,28.43241840999754,7.716274058760155,13.20660820122137,19.9,Low
12,2022,6.12363085194612,4.379128892956216,11.310664340664054,5.598135384791374,7.2950925158006115,0.0,Low
13,2022,23.755309059619453,7.008852499092912,46.34674373650541,10.669090076340304,23.623606213320926,54.9,High
14,2022,7.662449173650486,4.8991988419043295,19.28598292660427,7.873915172330596,10.95777066583405,12.3,Low
15,2022,4.459864680503328,4.972333603418306,11.904514574200652,5.969570426387995,7.34838883925789,0.2,Low
16,2022,5.776401225245518,5.784933575652085,20.497549793374915,7.86682707485431,11.029769370568513,12.6,Low
17,2022,6.904034961685824,4.889547413793103,24.256166187739463,7.170438218390805,12.014786877394636,15.9,Low
18,2022,5.6494911451238075,4.684536688303016,18.971872746213638,6.3139407537997165,9.81549002323904,8.5,Low
19,2022,5.368149258703982,5.08495752123938,13.484924204564386,7.429618524071298,8.59945027486257,4.4,Low
21,2022,5.673605827630275,4.827215450065758,22.045213987949634,6.959003082349133,11.014608139857174,12.5,Low
22,2022,4.137152680947116,4.6719313383574095,17.32945318062067,6.605992801813654,9.135856744936827,6.2,Low
23,2022,2.8823931653524224,4.76070943226376,14.256160790797114,7.071817465744532,8.158124799833807,2.9,Low
24,2022,4.335555155227286,5.171440581276647,16.703296703296704,6.211493424608179,8.879841470005404,5.3,Low
25,2022,6.627030849594103,5.276472582391345,18.047541109098134,8.106994834706978,10.510113694770187,10.8,Low
